"","year","state","state_po","county_name","county_fips","office","candidate","party","candidatevotes","totalvotes","version","mode","party_participation"
"54",2020,"MINNESOTA","MN","AITKIN",27001,"PRESIDENT","DONALD J TRUMP","REPUBLICAN",6258,10025,20210622,"TOTAL",62.4239401496259
"55",2000,"FLORIDA","FL","ALACHUA",12001,"PRESIDENT","AL GORE","DEMOCRAT",47365,85729,20191203,"TOTAL",55.2496821378997
"56",2004,"FLORIDA","FL","ALACHUA",12001,"PRESIDENT","JOHN KERRY","DEMOCRAT",62504,111328,20191203,"TOTAL",56.1440068985341
"57",2008,"FLORIDA","FL","ALACHUA",12001,"PRESIDENT","BARACK OBAMA","DEMOCRAT",75565,125519,20191203,"TOTAL",60.202041125248
"58",2012,"FLORIDA","FL","ALACHUA",12001,"PRESIDENT","BARACK OBAMA","DEMOCRAT",69699,120418,20191203,"TOTAL",57.8808815957747
"59",2016,"FLORIDA","FL","ALACHUA",12001,"PRESIDENT","HILLARY CLINTON","DEMOCRAT",75820,128571,20191203,"TOTAL",58.9713076821367
"60",2020,"FLORIDA","FL","ALACHUA",12001,"PRESIDENT","JOSEPH R BIDEN JR","DEMOCRAT",89704,142604,20210622,"TOTAL",62.9042663599899
"61",2000,"NORTH CAROLINA","NC","ALAMANCE",37001,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",29305,47091,20191203,"TOTAL",62.2305748444501
"62",2004,"NORTH CAROLINA","NC","ALAMANCE",37001,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",33302,54175,20191203,"TOTAL",61.471158283341
"63",2008,"NORTH CAROLINA","NC","ALAMANCE",37001,"PRESIDENT","JOHN MCCAIN","REPUBLICAN",34859,64353,20191203,"TOTAL",54.1684148369151
"64",2012,"NORTH CAROLINA","NC","ALAMANCE",37001,"PRESIDENT","MITT ROMNEY","REPUBLICAN",38170,67776,20191203,"TOTAL",56.3178706326723
"65",2016,"NORTH CAROLINA","NC","ALAMANCE",37001,"PRESIDENT","DONALD TRUMP","REPUBLICAN",38815,71157,20191203,"TOTAL",54.5483929901485
"66",2020,"NORTH CAROLINA","NC","ALAMANCE",37001,"PRESIDENT","DONALD J TRUMP","REPUBLICAN",29543,86091,20210622,"ONE STOP",34.3160144498263
"67",2000,"CALIFORNIA","CA","ALAMEDA",6001,"PRESIDENT","AL GORE","DEMOCRAT",342889,494336,20191203,"TOTAL",69.3635502977732
"68",2004,"CALIFORNIA","CA","ALAMEDA",6001,"PRESIDENT","JOHN KERRY","DEMOCRAT",422585,560742,20191203,"TOTAL",75.3617528203702
"69",2008,"CALIFORNIA","CA","ALAMEDA",6001,"PRESIDENT","BARACK OBAMA","DEMOCRAT",489106,621029,20191203,"TOTAL",78.7573527162178
"70",2012,"CALIFORNIA","CA","ALAMEDA",6001,"PRESIDENT","BARACK OBAMA","DEMOCRAT",469684,595642,20191203,"TOTAL",78.8534052333449
"71",2016,"CALIFORNIA","CA","ALAMEDA",6001,"PRESIDENT","HILLARY CLINTON","DEMOCRAT",514842,654266,20191203,"TOTAL",78.6900129305206
"72",2020,"CALIFORNIA","CA","ALAMEDA",6001,"PRESIDENT","JOSEPH R BIDEN JR","DEMOCRAT",617659,770070,20210622,"TOTAL",80.2081628942823
"73",2000,"COLORADO","CO","ALAMOSA",8003,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",2857,5659,20191203,"TOTAL",50.4859515815515
"74",2004,"COLORADO","CO","ALAMOSA",8003,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",3179,6269,20191203,"TOTAL",50.7098420800766
"75",2008,"COLORADO","CO","ALAMOSA",8003,"PRESIDENT","BARACK OBAMA","DEMOCRAT",3521,6286,20191203,"TOTAL",56.0133630289532
"76",2012,"COLORADO","CO","ALAMOSA",8003,"PRESIDENT","BARACK OBAMA","DEMOCRAT",3811,6715,20191203,"TOTAL",56.7535368577811
"77",2016,"COLORADO","CO","ALAMOSA",8003,"PRESIDENT","HILLARY CLINTON","DEMOCRAT",3189,6939,20191203,"TOTAL",45.9576307825335
"78",2020,"COLORADO","CO","ALAMOSA",8003,"PRESIDENT","DONALD J TRUMP","REPUBLICAN",3813,7808,20210622,"TOTAL",48.8345286885246
"79",2000,"NEW YORK","NY","ALBANY",36001,"PRESIDENT","AL GORE","DEMOCRAT",85617,141969,20191203,"TOTAL",60.3068275468588
"80",2004,"NEW YORK","NY","ALBANY",36001,"PRESIDENT","JOHN KERRY","DEMOCRAT",86213,147199,20191203,"TOTAL",58.5690120177447
"81",2008,"NEW YORK","NY","ALBANY",36001,"PRESIDENT","BARACK OBAMA","DEMOCRAT",93937,147136,20191203,"TOTAL",63.8436548499348
"82",2012,"NEW YORK","NY","ALBANY",36001,"PRESIDENT","BARACK OBAMA","DEMOCRAT",83978,135766,20191203,"TOTAL",61.8549563219068
"83",2016,"NEW YORK","NY","ALBANY",36001,"PRESIDENT","HILLARY CLINTON","DEMOCRAT",83077,139830,20191203,"TOTAL",59.4128584710005
"84",2020,"NEW YORK","NY","ALBANY",36001,"PRESIDENT","JOSEPH R BIDEN JR","DEMOCRAT",99474,154727,20210622,"TOTAL",64.2900075617055
"85",2000,"VIRGINIA","VA","ALBEMARLE",51003,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",18291,36846,20191203,"TOTAL",49.641752157629
"86",2004,"VIRGINIA","VA","ALBEMARLE",51003,"PRESIDENT","JOHN KERRY","DEMOCRAT",22088,43726,20191203,"TOTAL",50.514567991584
"87",2008,"VIRGINIA","VA","ALBEMARLE",51003,"PRESIDENT","BARACK OBAMA","DEMOCRAT",29792,50984,20191203,"TOTAL",58.4340185156127
"88",2012,"VIRGINIA","VA","ALBEMARLE",51003,"PRESIDENT","BARACK OBAMA","DEMOCRAT",29757,53907,20191203,"TOTAL",55.2006232956759
"89",2016,"VIRGINIA","VA","ALBEMARLE",51003,"PRESIDENT","HILLARY CLINTON","DEMOCRAT",33345,56726,20191203,"TOTAL",58.7825688396855
"90",2020,"VIRGINIA","VA","ALBEMARLE",51003,"US PRESIDENT","JOSEPH R BIDEN JR","DEMOCRAT",33416,64657,20210622,"ABSENTEE",51.6819524568106
"91",2000,"MICHIGAN","MI","ALCONA",26001,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",3152,5997,20191203,"TOTAL",52.5596131399033
"92",2004,"MICHIGAN","MI","ALCONA",26001,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",3592,6531,20191203,"TOTAL",54.9992344204563
"93",2008,"MICHIGAN","MI","ALCONA",26001,"PRESIDENT","JOHN MCCAIN","REPUBLICAN",3404,6420,20191203,"TOTAL",53.0218068535826
"94",2012,"MICHIGAN","MI","ALCONA",26001,"PRESIDENT","MITT ROMNEY","REPUBLICAN",3571,6104,20191203,"TOTAL",58.502621231979
"95",2016,"MICHIGAN","MI","ALCONA",26001,"PRESIDENT","DONALD TRUMP","REPUBLICAN",4201,6198,20191203,"TOTAL",67.7799290093579
